	Address	Noise Count	Latitude	Longitude	Venues
28	444 WEST 204TH STREET	171.0	40.862339	-73.919763	[('Umbrella Lounge', 769), ('Negro Claro Lounge', 698), ('Dyckman Basketball Court', 521), ('Patacon Pisao', 377), ('Vacca Grill & Lounge', 339)]
29	251 WEST 48 STREET	169.0	40.760583	-73.985922	"[(""Eugene O'Neill Theatre"", 28165), ('New York Sports Club', 21235), ('Crowne Plaza Manhattan Times Square', 17600), (""Hershey's Chocolate World"", 16618), ('Caff Bene', 12831)]"
30	41 STREET AND 7 AVENUE	164.0	40.647486	-74.000663	[('Sunset Park - Northeast Entrance', 591), ('Pizza by the Park', 165), ('Sunset Park Recreation Center', 125), ('4103 7th Avenue', 97), ('The Entertainment Capital of the World', 93)]
31	5023 AVENUE N	162.0	40.618977	-73.926572	[('Key Food', 415), ('Power Playground', 354), ('Gotham City Gym', 350), ('Studio 54 Fitness Club', 281), ('Brooklyn Mixed Martial Arts & Fitness', 191)]
32	247 DYCKMAN STREET	162.0	40.866376	-73.928258	[('Mamajuana Cafe', 5572), ('Papasito Mexican Grill And Agave Bar', 3177), ('Dyckman Bar', 2789), ('Mama Sushi', 1443), ('Corcho', 1093)]
33	126-19 MERRICK BOULEVARD	153.0	40.681879	-73.76608	[('Bagel Factory', 349), ('Subway', 209), ('Occasions Banquet Hall', 204), ('Sunny Nail Salon', 123), ('New York Fried Chicken', 117)]
34	545 FLATBUSH AVENUE	151.0	40.660643	-73.96063	"[('Lincoln Park Tavern', 4069), (""Gino's Brick Oven Pizza and Trattoria"", 2036), ('Tip of the Tongue Baked & Brewed', 1934), ('Wholesome Gourmet Market', 1035), ('Tugboat Tea Company', 914)]"
35	510 EAST 11 STREET	150.0	40.728222	-73.981282	[('Westville East', 16706), ('Northern Spy Food Co.', 13532), ('OST Cafe', 12877), ('Tompkins Square Bagels', 11108), ('HiFi', 10816)]
36	503 COLUMBUS AVENUE	146.0	40.78536	-73.972982	[('Good Enough to Eat', 12080), ('Joe', 10279), ('Prohibition', 8072), ('Kefi', 7322), ('Osteria Cotta', 6118)]
37	835 NOSTRAND AVENUE	145.0	40.668204	-73.950648	"[('Super Wings', 1443), (""Tony's Pizza On Nostrand"", 568), ('Crown Fried Chicken', 398), ('Annie 88 Express', 263), ('V.I.P. Bar & Grill', 232)]"
38	2117 3RD AVENUE	143.0	40.797535	-73.939951	"[('Spanish Harlem (El Barrio)', 11814), ('PS/MS 57 - James Weldon Johnson', 901), (""Wendy's"", 879), ('Chase Bank', 851), ('Mojitos Bar and Grill', 786)]"
39	1623 FLATBUSH AVENUE	143.0	40.630697	-73.945397	[('Target', 13320), ('HomeGoods', 1208), ('Starbucks', 784), ('Retro Fitness', 686), ('Chase Bank', 571)]
40	1214 BRONX RIVER AVENUE	142.0	40.829466	-73.882544	[('Compare Foods Supermarket', 171), ('Soundview Bruckner', 148), ('Sheridan Hotel', 134), ('MTA Bus Bx 4/4A', 128), ('Lincoln Fried Chicken', 125)]
41	5 AVENUE AND WASHINGTON SQUARE NORTH	140.0	40.73141	-73.996973	[('Washington Square Park', 131108), ('Otto Enoteca Pizzeria', 28398), ('Arch at Washington Square Park', 7736), ('Washington Square Park Fountain', 5841), ('Playground @ Washington Square Park', 2233)]
42	14 ORCHARD STREET	138.0	40.715221	-73.991714	[('The Fat Radish', 8869), ('The Leadbelly', 3835), ('Bacaro', 3750), ('Cheeky Sandwiches', 3749), ('Forgtmenot', 3614)]
43	BROADWAY AND EAST HOUSTON STREET	138.0	40.725432	-73.996771	[('Crate & Barrel', 12737), ('Hollister Co.', 7831), ('AEO & Aerie Store', 4341), ('Asanda Aveda Spa Lounge', 1945), ('MKG', 1892)]
44	210 RIVINGTON STREET	135.0	40.718388	-73.982771	[('New York Grill & Deli', 898), ('Tearedhan Convenience', 886), ('Rivington & Pitt', 531), ('Our Lady of Sorrows Roman Catholic Church', 457), ('Stairs Bar', 441)]
45	940 FLUSHING AVENUE	134.0	40.702736	-73.933783	"[(""983 Bushwick's Living Room"", 3425), ('American Medical Response', 2121), ('Green Fitness Studio', 2094), ('Arancini Bros.', 1483), ('Ange Noir Cafe', 967)]"
46	47 WEST 55 STREET	133.0	40.762325	-73.976453	"[('Museum of Modern Art (MoMA)', 171507), ('The Modern', 14668), ('M Pche', 11170), ('Momofuku Milk Bar', 9678), (""Joe's Shanghai "", 9321)]"
47	5035 BROADWAY	133.0	40.869549	-73.916348	[('Carrot Top Pastries', 1162), ('Associated Supermarket', 917), ('Cafe Tabaco y Ron', 874), ('Stairing Is Caring', 866), ('The Liffy II Bar', 432)]
48	44 WILSON AVENUE	131.0	40.702777	-73.929386	"[(""Cain's Tavern"", 2590), ('Dear Bushwick', 2051), ('L.A. Burrito', 1160), ('Your Way Cafe', 445), ('Joel Deli Grocery', 94)]"
49	234 EAST 181 STREET	131.0	40.854348	-73.9006	[('NYPD - 46th Precinct', 1120), ('Concourse Food Plaza', 72), ('2160 Anthony Ave.', 67), ('La estrella', 62), ('New Kee Wong Restaurant', 60)]
50	3155 BROADWAY	131.0	40.814536	-73.959144	"[('Jin Ramen', 6403), ('Toast Uptown', 4950), ('Bettolona', 1735), (""Paddy's"", 1693), ('Kuro Kuma', 1516)]"
51	34-19 30 AVENUE	131.0	40.765672	-73.91876	"[('Sweet Afton', 17549), ('Key Food', 7550), ('Ovelia Psistaria Bar', 5239), ('Rite Aid', 3929), (""Dominie's"", 3877)]"
52	597 CONEY ISLAND AVENUE	130.0	40.642695	-73.969775	[('MTA B68 Bus', 929), ('Ditmas Fitness', 446), ('Brooklyn Banya', 363), ('Madina Restaurant and Sweets', 349), ('Citywash Laundry Center', 285)]
53	1497 ST NICHOLAS AVENUE	129.0	40.851804	-73.931928	[('Mia Sushi & Steakhouse', 800), ('Rite Aid', 778), ('Bunny Deli Inc.', 654), ('Marisco Centro (Seafood Restaurant & Fish Market)', 347), ('247 Wadsworth Avenue', 315)]
54	45-07 47 AVENUE	128.0	40.74125	-73.919847	"[('Associated Supermarket', 1274), ('Avenue Coffee House', 622), (""Lenny's Pizza"", 437), (""Queens Assembly Hall of Jehovah's Witnesses"", 403), (""McDonald's"", 389)]"
55	940 FULTON STREET	124.0	40.68272	-73.963292	[('Key Food Market', 2064), ('Brooklyn Victory Garden', 1773), ('US Post Office', 1583), ('Mr. Melon', 1384), ('Cochinita', 1380)]
56	42-18 31 AVENUE	124.0	40.760454	-73.915276	"[('DiWine', 4472), ('Cvo', 4258), ('Piazza Pizza', 403), ('31st Ave. Stop Deli', 183), (""Crehan's Pub"", 156)]"
57	697 WEST 133 STREET	124.0	40.819866	-73.958523	[('Fairway Market', 9758), ('The Hudson River Cafe', 4449), ('9A Kitchen & Lounge', 870), ('Studebaker Building - Columbia University', 827), ('KIPP: Infinity Charter School', 739)]
58	1254 LEXINGTON AVENUE	123.0	40.778502	-73.956325	"[('Starbucks', 9209), ('Sephora', 4922), ('Carlow East', 3827), ('JackRabbit Sports', 2314), (""Mimi's Pizza Kitchen"", 2041)]"
59	124 BEDFORD AVENUE	122.0	40.71958	-73.955862	"[(""Vinnie's Pizzeria"", 10044), ('The Gibson', 8974), ('The Bedford', 8835), ('Allswell', 8726), ('Mugs Ale House', 8219)]"
60	92-06 173 STREET	122.0	40.707531	-73.7866	[('Family Moon Deli', 265), ('Good Day Dental', 142), ('Foodtown FoodMarkets', 134), ('Tropical fantasy bar & lounge', 89), ('Para Ti Colombia Restaurant', 28)]
