"Unique Key","Created Date","Complaint Type",Descriptor,"Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type",City,Latitude,Longitude,Location,count(location)
15951008,"02/07/2010 01:01:59 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,10472,"1214 BRONX RIVER AVENUE","BRONX RIVER AVENUE","CLOSE AVENUE","COLGATE AVENUE","","",ADDRESS,BRONX,40.82946637696026,-73.88254414499168,"(40.82946637696026, -73.88254414499168)",142
16256957,"03/19/2010 01:53:09 PM","Noise - Park","Loud Music/Party",Park/Playground,10003,"","","","","5 AVENUE","WASHINGTON SQUARE NORTH",INTERSECTION,"NEW YORK",40.731410110423155,-73.99697276049245,"(40.731410110423155, -73.99697276049245)",140
16298654,"03/26/2010 01:21:24 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10002,"14 ORCHARD STREET","ORCHARD STREET","CANAL STREET","HESTER STREET","","",ADDRESS,"NEW YORK",40.715221270038704,-73.99171408791376,"(40.715221270038704, -73.99171408791376)",138
15775822,"01/21/2010 12:28:22 PM","Noise - Street/Sidewalk","Loud Music/Party",Street/Sidewalk,10012,"","","","",BROADWAY,"EAST HOUSTON STREET",INTERSECTION,"NEW YORK",40.72543202640792,-73.9967709936638,"(40.72543202640792, -73.9967709936638)",138
16711891,"05/22/2010 08:19:33 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10002,"210 RIVINGTON STREET","RIVINGTON STREET","RIDGE STREET","PITT STREET","","",ADDRESS,"NEW YORK",40.71838773242428,-73.9827708330719,"(40.71838773242428, -73.9827708330719)",135
15628862,"01/01/2010 01:57:27 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11206,"940 FLUSHING AVENUE","FLUSHING AVENUE","EVERGREEN AVENUE","CENTRAL AVENUE","","",ADDRESS,BROOKLYN,40.70273580703934,-73.93378281744461,"(40.70273580703934, -73.93378281744461)",134
16885031,"06/17/2010 12:08:40 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10019,"47 WEST 55 STREET","WEST 55 STREET","5 AVENUE","AVENUE OF THE AMERICAS","","",ADDRESS,"NEW YORK",40.76232459518089,-73.9764531002361,"(40.76232459518089, -73.9764531002361)",133
25630928,"05/29/2013 03:45:30 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10034,"5035 BROADWAY",BROADWAY,"WEST 214 STREET","WEST 215 STREET","","",ADDRESS,"NEW YORK",40.86954933988228,-73.9163483681302,"(40.86954933988228, -73.9163483681302)",133
16467251,"04/18/2010 12:03:19 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11237,"44 WILSON AVENUE","WILSON AVENUE","GEORGE STREET","MELROSE STREET","","",ADDRESS,BROOKLYN,40.70277711007218,-73.92938632693719,"(40.70277711007218, -73.92938632693719)",131
21179393,"08/31/2011 03:25:47 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11103,"34-19 30 AVENUE","30 AVENUE","34 STREET","35 STREET","","",ADDRESS,ASTORIA,40.76567164720731,-73.91876036609953,"(40.76567164720731, -73.91876036609953)",131
